nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT03736967,dupilumab,DUPILUMAB,CHEMBL2108675,Antibody,APPROVAL,IL4R,1,Interleukin-4 receptor subunit alpha antagonist,PHASE2,206,Atopic Dermatitis,Lack of efficacy,Regeneron Pharmaceuticals
NCT00360412,e2007,PERAMPANEL,CHEMBL1214124,Small molecule,APPROVAL,GRIA1;GRIA2;GRIA3;GRIA4,4,Glutamate receptor ionotropic AMPA antagonist,PHASE3,997,Parkinson's Disease,Study stopped due to lack of efficacy.,Eisai Inc.
NCT03917719,edasalonexent,EDASALONEXENT,CHEMBL3786673,Small molecule,PHASE_3,NFKB1;NFKB2;RELA,3,Nuclear factor NF-kappa-B complex inhibitor,PHASE3,130,Duchenne Muscular Dystrophy,"The Phase 3 PolarisDMD trial did not meet the primary endpoint. As a result, activities related to the development of edasalonexent have stopped including the CAT-1004-30",Catabasis Pharmaceuticals
NCT00965419,edivoxetine,EDIVOXETINE,CHEMBL2103857,Small molecule,PHASE_3,SLC6A2,1,Norepinephrine transporter inhibitor,PHASE2/PHASE3,267,Attention Deficit Hyperactivity Disorder,Terminated due to low 5 year completer number and not meeting primary objective.,Eli Lilly and Company
NCT04598477,efgartigimod ph20 sc,EFGARTIGIMOD ALFA,CHEMBL4297551,Protein,APPROVAL,FCGRT,1,IgG receptor FcRn large subunit p51 antagonist,PHASE3,183,Pemphigus Vulgaris|Pemphigus Foliaceus,"Based on the lack of observed efficacy in the primary study ARGX-113-1904, the sponsor decided to discontinue the open-label extension study.",argenx
NCT02704403,elafibranor,ELAFIBRANOR,CHEMBL3707395,Small molecule,APPROVAL,PPARA;PPARD,2,Peroxisome proliferator-activated receptor alpha agonist; Peroxisome proliferator-activated receptor delta agonist,PHASE3,2157,Nonalcoholic Steatohepatitis (NASH) With Fibrosis,"Study did not meet the predefined primary surrogate efficacy endpoint, no safety issues identified",Genfit
NCT02956486,elenbecestat,ELENBECESTAT,CHEMBL4204869,Small molecule,PHASE_3,BACE1,1,Beta-secretase 1 inhibitor,PHASE3,2212,Alzheimer's Disease,"Due to an unfavorable risk-benefit ratio including no evidence of potential efficacy, and the adverse event profile of E2609 being worse than placebo.","Eisai Co., Ltd."
NCT00740545,enoxaparine,ENOXAPARIN SODIUM,CHEMBL1201476,Oligosaccharide,APPROVAL,SERPINC1,1,Antithrombin-III activator,PHASE3,258,Alive and Viable Births,Stopped for futility,"University Hospital, Brest"
NCT01244191,erlotinib,ERLOTINIB,CHEMBL553,Small molecule,APPROVAL,EGFR,1,Epidermal growth factor receptor erbB1 inhibitor,PHASE3,1048,"Non Squamous, Non-small-cell Lung Cancer",Sponsor decision due to the protocol-defined stopping boundary for futility was met based on the interim OS data.,Daiichi Sankyo
NCT03657095,esuberaprost,ESUBERAPROST,CHEMBL3137314,Small molecule,PHASE_3,PTGIR,1,Prostanoid IP receptor agonist,PHASE3,112,Pulmonary Arterial Hypertension,"The pivotal study, BPS-314d-MR-PAH-302 (NCT01908699), failed to demonstrate efficacy.",Lung Biotechnology PBC
NCT04173273,etrasimod,ETRASIMOD,CHEMBL3358920,Small molecule,APPROVAL,S1PR1;S1PR4;S1PR5,3,Sphingosine 1-phosphate receptor Edg-1 agonist; Sphingosine 1-phosphate receptor Edg-1 modulator; Sphingosine 1-phosphat,PHASE2/PHASE3,379,Crohn's Disease,The study was prematurely discontinued due to a lack of efficacy in sub-study 1,Pfizer
NCT01687998,evacetrapib,EVACETRAPIB,CHEMBL2017179,Small molecule,PHASE_3,CETP,1,Cholesteryl ester transfer protein inhibitor,PHASE3,12092,Cardiovascular Diseases,Study termination due to insufficient efficacy.,Eli Lilly and Company
NCT02260648,evacetrapib,EVACETRAPIB,CHEMBL2017179,Small molecule,PHASE_3,CETP,1,Cholesteryl ester transfer protein inhibitor,PHASE3,149,Hypercholesterolemia,Study termination due to insufficient efficacy.,Eli Lilly and Company
NCT01374451,everolimus,EVEROLIMUS,CHEMBL1908360,Small molecule,APPROVAL,FKBP1A,1,FK506-binding protein 1A inhibitor,PHASE2,160,Islet Cell Tumor,The study was stopped for not meeting the primary endpoint for PFS.,Novartis Pharmaceuticals
